,zero_rate,variance
TSPAN15,0.08877284595300261,116666.46047325473
WDR6,0.04960835509138381,116430.48786789339
TRAFD1,0.0783289817232376,115719.35092204013
SUN1,0.04699738903394256,115681.08506828161
RPL18,0.04177545691906005,113347.7344743209
HLA-C,0.06527415143603134,113260.29465640502
WARS1,0.09399477806788512,113106.59104889746
HNRNPM,0.06266318537859007,112917.9189233525
LY6E,0.08093994778067885,112858.22563667927
DEGS2,0.04960835509138381,112721.383497601
RPL13A,0.04177545691906005,112604.9050893333
SDHA,0.06005221932114883,112483.52181045206
OVOL1,0.2349869451697128,111928.55489180233
PSME1,0.044386422976501305,110721.26731644646
HMGB2,0.13315926892950392,110485.86941068718
RPS6KB1,0.044386422976501305,110078.9460992714
SEMA3C,0.09138381201044386,109767.59014667888
STUB1,0.04699738903394256,109699.79284513273
SLCO4A1,0.17232375979112272,109690.2039014121
RPL4,0.04699738903394256,109656.298607029
OSER1,0.0835509138381201,108026.62339206849
EIF4G1,0.05221932114882506,107893.18763413663
LGALS3,0.04699738903394256,107759.72162454041
SELENBP1,0.1906005221932115,107683.87761267483
ELOB,0.04177545691906005,106661.55430399306
PSMB1,0.04699738903394256,106384.17322597842
CTSB,0.06005221932114883,106236.46462892844
SLC38A2,0.06005221932114883,105782.3879130043
MYADM,0.08616187989556136,105523.0300466147
SYTL2,0.10704960835509138,104559.46617363619
TANC2,0.06788511749347259,104394.47551023187
SMTN,0.31070496083550914,104290.3476959247
ID2,0.0783289817232376,103585.5878364525
ECHS1,0.057441253263707574,102997.10774677739
TRIM28,0.057441253263707574,102959.85725807548
PDXK,0.04699738903394256,102675.23810370044
H4C3,0.0783289817232376,102590.82924828786
HNRNPK,0.04699738903394256,102514.6400421036
MDH2,0.04699738903394256,102391.19615053372
ST3GAL1,0.28720626631853785,102203.473049636
EEF2,0.04177545691906005,102151.01831777234
LYPD3,0.13054830287206268,102036.13304990916
IFITM3,0.1514360313315927,102032.65710223783
DYNC1H1,0.05483028720626632,101810.6538761227
NEU1,0.05221932114882506,101656.12290678448
MYO1B,0.1122715404699739,101521.34595983756
AAMP,0.06266318537859007,101474.21213073979
JAG1,0.6527415143603134,100755.21392150733
FTSJ3,0.057441253263707574,100360.41540333269
LSR,0.04177545691906005,100289.4975325687
CIART,0.21148825065274152,99981.6644840269
NOL3,0.0731070496083551,99881.26273700326
CITED2,0.0783289817232376,99757.31751261056
PARK7,0.04960835509138381,99422.7064235233
ECE1,0.10182767624020887,98702.61502604141
APEX1,0.06266318537859007,98382.95673451533
TXNRD1,0.09138381201044386,97994.18759312668
SCARB1,0.0731070496083551,97807.24097439616
OAZ1,0.04699738903394256,97403.45838174793
ZMYND8,0.06788511749347259,97274.4527497164
RPLP1,0.0391644908616188,96078.76022856195
RPL32,0.04177545691906005,95935.45158776805
DDX41,0.08093994778067885,95568.2351099749
RAP2B,0.06266318537859007,94838.29241452852
CTNNB1,0.06266318537859007,94566.11067215296
RNF10,0.06788511749347259,93378.1786119503
TGFBI,0.43342036553524804,92968.35343731614
LDOC1,0.06527415143603134,92698.85500252906
ITGB4,0.10704960835509138,92674.45250365676
RAB31,0.1801566579634465,92620.4625374217
PLD3,0.04699738903394256,92152.0482550272
TECR,0.04699738903394256,91837.23355159727
SLC44A2,0.0731070496083551,91801.89713340533
PRSS8,0.0731070496083551,91193.09064563306
ZWINT,0.3733681462140992,90896.03726436387
CXXC5,0.09921671018276762,90681.18249422453
SREBF1,0.0731070496083551,90234.41016773062
INSIG1,0.0835509138381201,89903.53574016111
PHGDH,0.2454308093994778,89822.93221057224
PCBP1,0.04960835509138381,89366.37622517186
ATP9A,0.057441253263707574,89231.5654313563
EIF5,0.057441253263707574,89106.60549806563
KIF20A,0.587467362924282,87436.44346780004
N4BP3,0.23759791122715404,87371.54370975905
IFI27,0.8825065274151436,87368.54191899141
ITGB5,0.23237597911227154,87000.59721405807
ARPC2,0.04699738903394256,86859.42402908976
